"";"Datum";"factorn";"eQ2";"eQ3";"eQ4";"eQ5";"eQ6"
"1313";1995-03-31;0,00211267605633803;0;0;NA;NA;NA
"1410";1995-06-30;0,00215827338129496;1;0;NA;NA;NA
"1711";1996-03-31;0,00303030303030303;1;0;NA;NA;NA
"1812";1996-06-30;0,00223880597014925;1;0;NA;NA;NA
"2112";1997-03-31;0,00220588235294118;-1;-1;NA;NA;NA
"2210";1997-06-30;0,00285714285714286;-1;-1;NA;NA;NA
"628";1993-06-30;0,0016304347826087;1;2;NA;NA;NA
"914";1994-03-31;0,00211267605633803;0;0;NA;NA;NA
"1011";1994-06-30;0,00204081632653061;-1;-1;NA;NA;NA
"1115";1994-09-30;NA;0;0;NA;NA;NA
"1411";1995-06-30;0,00215827338129496;-1;-1;NA;NA;NA
"2113";1997-03-31;0,00220588235294118;-1;0;NA;NA;NA
"2511";1998-03-31;0,00319148936170213;0;-1;NA;NA;NA
"355";2000-09-30;0,00315789473684211;-2;0;NA;NA;NA
"366";2000-12-31;0,00267857142857143;0;-2;NA;NA;NA
"375";2001-03-31;0,00162162162162162;0;-1;NA;NA;NA
"405";2001-12-31;0,00638297872340425;0;-1;-1;-1;NA
"415";2002-03-31;0,00526315789473684;0;0;2;1;NA
"494";2004-03-31;0,0075;NA;0;1;-1;NA
"544";2005-06-30;0,00697674418604651;0;0;0;0;NA
"59";2006-09-30;0,00223880597014925;-2;0;0;-1;NA
"602";2006-12-31;0,00277777777777778;0;0;1;1;NA
"629";2007-06-30;0,00375;0;0;0;-1;NA
"632";2007-09-30;0,00309278350515464;-1;-1;0;1;NA
"642";2007-12-31;0,00285714285714286;-2;-2;-1;-2;NA
"652";2008-03-31;0,00384615384615385;NA;-1;1;0;NA
"662";2008-06-30;0,00245901639344262;NA;-1;-1;-1;NA
"672";2008-09-30;0,000980392156862745;-1;-1;0;-1;NA
"682";2008-12-31;0,00101351351351351;-1;-1;-1;0;NA
"692";2009-03-31;0,001171875;0;0;0;0;NA
"702";2009-06-30;0,001;0;-1;-1;0;NA
"752";2010-09-30;0,00144230769230769;NA;NA;0;0;NA
"801";2011-12-31;0,0012;0;-1;-1;-1;NA
"811";2012-03-31;0,00138888888888889;1;-1;-1;-1;NA
"821";2012-06-30;0,00157894736842105;-1;-2;-1;-2;NA
"831";2012-09-30;0,00104895104895105;1;0;0;1;NA
"86";2013-06-30;0,00147058823529412;0;0;0;0;NA
