Streek;Idnr;Sektor;Gewig;Faktor;OpnameQ;Q1;Q2A;Q2P;Q3A;Q3P;Q4A;Q4P;Q5A;Q5P;Q6A;Q6P;Q7A;Q7P;Q8;Q9;Latecomer;NewRecruit;WrongClassif;Duplicate
01;37214;2220;9;87.5;15Q3;;3;1;2;1;3;1;3;2;1;2;2;1;2;2;FALSE;FALSE;FALSE;FALSE
01;37215;2210;3;0.875;15Q3;1;1;1;1;1;2;1;1;1;1;1;2;1;3;2;FALSE;FALSE;FALSE;FALSE
06;37242;2110;8;64.19999695;15Q3;2;3;3;3;3;3;3;2;3;1;1;1;1;3;1;FALSE;FALSE;FALSE;FALSE
06;37244;2240;5;3.75;15Q3;1;2;1;2;1;2;1;2;3;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;37247;2210;5;3.75;15Q3;1;1;1;1;1;1;1;2;2;2;2;2;2;1;1;FALSE;FALSE;FALSE;FALSE
01;37248;2120;3;1.001000047;15Q3;2;2;3;2;3;2;2;2;2;1;1;1;1;2;3;FALSE;FALSE;FALSE;FALSE
01;37249;2110;9;149.8000031;15Q3;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;FALSE;FALSE;FALSE;FALSE
01;37254;2220;4;1.875;15Q2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;TRUE;FALSE;FALSE;FALSE
01;37257;2120;3;1.001000047;15Q3;2;2;2;2;2;2;2;3;2;1;2;1;2;3;2;FALSE;FALSE;FALSE;FALSE
06;37276;2220;9;87.5;15Q2;1;;;2;2;2;2;2;2;2;2;2;2;2;2;TRUE;FALSE;FALSE;FALSE
06;37618;2130;9;100.1000061;15Q3;2;3;2;2;2;2;2;2;2;1;1;2;2;3;2;FALSE;FALSE;FALSE;FALSE
08;37691;2220;9;87.5;15Q3;1;2;;2;2;2;2;2;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
06;50157;2120;9;100.1000061;15Q3;1;1;2;2;2;2;2;1;2;2;2;2;2;1;2;FALSE;FALSE;FALSE;FALSE
06;50183;2120;3;1.001000047;15Q3;2;2;;1;2;2;2;1;2;1;2;2;1;2;3;FALSE;FALSE;FALSE;FALSE
05;50226;2210;3;0.875;15Q3;2;3;2;3;2;3;2;3;2;1;1;1;1;3;2;FALSE;FALSE;FALSE;FALSE
01;50261;2210;6;8.75;15Q3;1;2;;2;;2;;2;;2;;2;;2;2;FALSE;FALSE;FALSE;FALSE
08;50333;2110;5;6.420000076;15Q3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;1;FALSE;FALSE;FALSE;FALSE
01;50369;2210;6;8.75;15Q3;2;3;1;3;1;2;2;2;2;1;1;1;3;3;2;FALSE;FALSE;FALSE;FALSE
05;50693;2130;1;0.143000007;15Q3;2;3;2;3;2;3;2;3;2;1;1;2;2;3;2;FALSE;FALSE;FALSE;FALSE
06;51121;2210;3;0.875;15Q3;2;3;2;3;3;3;3;2;2;1;1;2;2;3;1;FALSE;FALSE;FALSE;FALSE
06;52107;2230;4;1.875;15Q3;2;3;3;3;3;3;3;2;2;2;2;2;2;2;1;FALSE;FALSE;FALSE;FALSE
01;53262;2220;8;37.5;15Q3;2;3;3;3;3;3;3;2;2;1;1;1;1;3;1;FALSE;FALSE;FALSE;FALSE
08;90972;2210;1;0.125;15Q3;2;3;2;3;3;3;3;2;2;3;3;3;3;3;2;FALSE;FALSE;FALSE;FALSE
04;91008;2120;1;0.143000007;15Q2;;3;3;2;2;2;2;2;2;1;1;1;1;3;2;TRUE;FALSE;FALSE;FALSE
01;96388;2120;3;1.001000047;15Q3;1;1;1;1;1;1;1;1;1;1;2;1;2;1;2;FALSE;FALSE;FALSE;FALSE
01;96391;2110;3;1.498000026;15Q3;1;1;2;1;2;1;2;1;1;1;2;1;2;1;2;FALSE;FALSE;FALSE;FALSE
01;96411;2110;6;14.9800005;15Q3;1;2;2;1;1;1;1;1;2;1;2;1;2;1;3;FALSE;FALSE;FALSE;FALSE
01;96420;2220;3;0.875;15Q3;1;2;2;2;2;2;2;3;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
05;96446;2210;1;0.125;15Q3;2;3;;3;3;3;3;2;2;1;1;3;3;3;2;FALSE;FALSE;FALSE;FALSE
06;96460;2220;3;0.875;15Q2;1;1;1;1;2;2;2;2;2;1;1;1;1;2;2;TRUE;FALSE;FALSE;FALSE
01;96465;2110;2;0.64200002;15Q3;2;3;3;3;3;3;3;2;2;1;1;1;1;3;2;FALSE;FALSE;FALSE;FALSE
01;96473;2220;4;1.875;15Q3;2;3;3;3;2;3;2;2;2;1;1;3;3;3;2;FALSE;FALSE;FALSE;FALSE
06;96491;2120;8;42.90000153;15Q2;2;2;2;;;1;1;2;2;1;1;1;1;2;2;TRUE;FALSE;FALSE;FALSE
06;96548;2110;6;14.9800005;15Q3;2;3;3;3;3;3;3;2;2;3;3;2;2;3;1;FALSE;FALSE;FALSE;FALSE
05;96551;2130;7;21.45000076;15Q3;1;2;2;1;2;1;2;2;1;2;2;2;2;1;2;FALSE;FALSE;FALSE;FALSE
06;96623;2230;8;37.5;15Q3;2;;3;;3;;3;;3;;1;;1;3;1;FALSE;FALSE;FALSE;FALSE
01;96642;2220;9;87.5;15Q3;1;2;2;1;2;1;2;2;2;1;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
01;96645;2120;2;0.42900002;15Q3;2;3;;3;2;3;2;2;2;1;2;1;2;3;2;FALSE;FALSE;FALSE;FALSE
06;96658;2110;2;0.64200002;15Q3;2;;;3;3;3;3;2;3;1;3;1;3;3;3;FALSE;FALSE;FALSE;FALSE
06;96679;2210;3;0.875;15Q3;2;3;2;3;3;3;3;2;2;1;1;1;1;3;3;FALSE;FALSE;FALSE;FALSE
06;96732;2110;7;32.09999847;15Q3;2;3;3;3;3;3;3;2;2;1;1;1;1;3;1;FALSE;FALSE;FALSE;FALSE
05;96788;2220;4;1.875;15Q2;1;1;1;2;1;2;1;2;2;1;1;1;1;2;2;TRUE;FALSE;FALSE;FALSE
06;96841;2110;3;1.498000026;15Q2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;TRUE;FALSE;FALSE;FALSE
06;97059;2110;7;32.09999847;15Q3;2;3;3;3;3;3;3;3;2;1;2;1;2;3;2;FALSE;FALSE;FALSE;FALSE
06;97102;2130;6;10.01000023;15Q3;2;3;3;3;2;3;2;2;2;1;1;1;1;3;2;FALSE;FALSE;FALSE;FALSE
06;97367;2130;3;1.001000047;15Q3;2;3;3;3;3;3;3;2;2;1;2;1;2;3;2;FALSE;FALSE;FALSE;FALSE
06;99987;2110;3;1.498000026;15Q3;2;3;3;3;3;3;3;3;2;1;1;1;1;3;2;FALSE;FALSE;FALSE;FALSE
06;13134;2230;3;0.875;14Q4;2;;;3;3;3;3;2;2;1;1;1;1;3;2;FALSE;FALSE;FALSE;FALSE
06;51874;2230;9;87.5;14Q4;2;2;2;3;3;3;3;2;2;1;1;1;1;3;2;FALSE;FALSE;FALSE;FALSE
01;96473;2220;4;1.875;14Q4;1;1;3;1;1;1;2;1;2;1;1;1;3;1;2;FALSE;FALSE;FALSE;FALSE
06;13378;2130;4;2.144999981;14Q4;2;2;3;3;3;3;3;2;2;2;2;2;2;3;3;FALSE;FALSE;FALSE;FALSE
03;50082;2110;9;149.8000031;14Q4;1;1;2;1;2;2;2;2;2;1;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
01;13358;2220;2;0.375;14Q4;2;3;2;3;2;3;2;2;2;1;2;1;2;3;1;FALSE;FALSE;FALSE;FALSE
06;13111;2110;9;149.8000031;14Q4;2;3;2;2;2;3;2;2;2;2;2;2;2;2;1;FALSE;FALSE;FALSE;FALSE
06;13823;2240;7;18.75;14Q4;2;3;3;3;3;3;3;3;3;1;2;1;1;2;1;FALSE;FALSE;FALSE;FALSE
06;37234;2230;9;87.5;14Q4;2;2;1;3;1;3;1;3;2;1;2;2;1;2;1;FALSE;FALSE;FALSE;FALSE
05;33202;2220;6;8.75;14Q4;1;3;3;3;1;3;2;2;3;2;1;2;1;3;1;FALSE;FALSE;FALSE;FALSE
06;13673;2110;1;0.214000002;14Q4;1;1;2;1;2;1;2;2;2;2;2;2;2;1;2;FALSE;FALSE;FALSE;FALSE
06;14766;2110;8;64.19999695;14Q4;1;2;3;3;2;3;3;2;2;1;1;2;1;3;1;FALSE;FALSE;FALSE;FALSE
01;14714;2220;3;0.875;14Q4;1;2;2;1;2;1;2;1;2;1;2;1;2;1;2;FALSE;FALSE;FALSE;FALSE
01;13045;2220;5;3.75;14Q4;1;2;2;2;2;2;2;2;2;1;1;2;2;3;2;FALSE;FALSE;FALSE;FALSE
