Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9,Q4AX,Q6AX,Q7AX,Latecomer,NewRecruit,WrongClassif,Duplicate,Imputed
1,13358,2220,1,1.693490761,12Q3,2,3,2,3,2,3,3,2,3,1,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10919,2220,1,1.526919179,08Q2,2,3,3,3,2,3,2,2,2,1,1,1,1,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13738,2220,1,1.526919179,08Q3,2,3,3,3,3,3,3,2,2,1,2,1,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,96935,2220,1,1.526919179,08Q4,2,3,3,3,3,3,3,2,3,2,1,2,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13043,2220,1,1.693490761,09Q1,2,3,3,3,3,3,3,3,3,2,1,2,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13994,2220,1,1.693490761,09Q2,2,2,2,2,2,,,1,1,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10939,2220,1,1.693490761,10Q1,2,3,3,3,3,3,3,2,2,1,1,2,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10939,2220,1,1.693490761,10Q2,2,3,2,3,2,3,2,2,2,1,2,1,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10939,2220,1,1.693490761,10Q3,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10939,2220,1,1.693490761,10Q4,2,3,2,3,3,3,3,2,1,2,2,1,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10940,2220,2,4.961551123,08Q2,1,2,3,3,3,3,3,1,1,2,2,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,10940,2220,2,4.656898807,09Q1,2,3,3,2,3,2,3,2,2,2,1,2,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13402,2230,1,1.41488349,15Q2,,2,,2,2,2,1,2,2,1,1,1,1,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
6,13851,2220,3,7.93083166,15Q2,2,3,2,1,1,1,1,2,2,2,2,3,2,3,1,,,,TRUE,FALSE,FALSE,FALSE,FALSE
6,14295,2110,2,5.228802736,15Q2,1,3,2,3,3,3,3,1,2,1,1,3,3,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
6,14655,2220,2,5.433853824,15Q2,2,3,3,3,3,2,2,3,2,2,1,1,1,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
4,91008,2120,1,0.903953341,15Q2,,3,3,2,2,2,2,2,2,1,1,1,1,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
6,96460,2220,1,2.083022916,15Q2,1,1,1,1,2,2,2,2,2,1,1,1,1,2,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
6,96491,2120,2,2.358087509,15Q2,2,2,2,,,1,1,2,2,1,1,1,1,2,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
6,96841,2110,1,2.004418277,15Q2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
5,11085,2110,2,5.228802736,15Q3,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,11113,2120,1,0.903953341,15Q3,2,3,2,2,2,2,2,3,3,3,2,3,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
