"";"Datum";"factor";"eQ2";"eQ3";"eQ4";"eQ5";"eQ6"
"21116";1997-03-31;1;-1;-1;NA;NA;NA
"22108";1997-06-30;1;0;-1;NA;NA;NA
"2998";1999-03-31;1;-1;-1;NA;NA;NA
"3063";1999-06-30;1;-2;-2;NA;NA;NA
"3156";1999-09-30;7;0;0;NA;NA;NA
"3961";2001-09-30;3;NA;-1;0;0;NA
"4062";2001-12-31;3;0;-1;-1;-1;NA
"4380";2002-09-30;3;0;0;1;0;NA
"4477";2002-12-31;3;-1;-1;-1;0;NA
"4567";2003-03-31;3;0;0;0;0;NA
"4686";2003-06-30;3;0;0;0;1;NA
"4775";2003-09-30;3;0;0;0;0;NA
"4874";2003-12-31;3;0;1;0;-1;NA
"4975";2004-03-31;3;0;0;0;0;NA
"5067";2004-06-30;3;1;1;1;1;NA
"5173";2004-09-30;3;1;0;0;0;NA
"5284";2004-12-31;3;NA;0;0;0;NA
"5381";2005-03-31;3;NA;0;0;-1;NA
"5465";2005-06-30;3;0;0;0;1;NA
"5754";2006-03-31;3;NA;0;0;-1;NA
"58101";2006-06-30;3;0;0;0;0;NA
"5978";2006-09-30;3;1;1;1;0;NA
"6086";2006-12-31;3;0;0;0;0;NA
"61165";2007-03-31;3;NA;0;0;-1;NA
"64101";2007-12-31;3;0;0;0;-1;NA
"67132";2008-09-30;2;1;1;1;0;NA
"68132";2008-12-31;2;-2;-2;-1;-1;NA
"69146";2009-03-31;2;NA;0;0;0;NA
"70145";2009-06-30;2;NA;0;0;0;NA
"71127";2009-09-30;2;0;1;1;0;NA
"72123";2009-12-31;2;NA;0;0;0;NA
"73154";2010-03-31;2;NA;-1;-1;-1;NA
"74147";2010-06-30;2;1;1;1;0;NA
"75131";2010-09-30;2;NA;0;0;-1;NA
"76131";2010-12-31;2;NA;-2;-1;-2;NA
"79126";2011-09-30;2;-1;-1;-1;-1;NA
"80121";2011-12-31;2;-1;-1;0;0;NA
"81108";2012-03-31;2;1;1;1;0;NA
