"";"Datum";"factor";"eQ2";"eQ3";"eQ4";"eQ5";"eQ6"
"698";2009-03-31;0,2;NA;0;0;0;NA
"7012";2009-06-30;0,2;NA;0;0;0;NA
"7110";2009-09-30;0,2;NA;0;0;0;NA
"7211";2009-12-31;0,2;NA;0;0;0;NA
"7314";2010-03-31;0,2;NA;-1;0;-1;NA
"7411";2010-06-30;0,2;NA;1;0;0;NA
"7510";2010-09-30;0,2;NA;0;1;-1;NA
"7610";2010-12-31;0,2;NA;0;0;0;NA
"7711";2011-03-31;0,2;NA;0;0;0;NA
"789";2011-06-30;0,2;NA;0;0;0;NA
"7911";2011-09-30;0,2;NA;-1;0;-1;NA
"8011";2011-12-31;0,2;NA;-1;0;-1;NA
"8313";2012-09-30;0,2;-1;-1;0;0;NA
"868";2013-06-30;0,2;-1;-1;0;0;NA
"876";2013-09-30;0,2;-1;-1;0;0;NA
"8811";2013-12-31;0,2;-1;0;0;0;NA
"597";2006-09-30;0,8;NA;0;0;-1;NA
"608";2006-12-31;0,8;NA;0;0;0;NA
"614";2007-03-31;0,8;NA;-1;0;-1;NA
"8111";2012-03-31;0,8;NA;1;0;0;NA
"8410";2012-12-31;0,8;0;0;0;0;NA
"9211";2014-12-31;0,8;0;-1;0;0;NA
"9310";2015-03-31;0,8;-1;0;0;-1;NA
"943";2015-06-30;0,8;0;2;0;1;NA
"548";2005-06-30;0,5;NA;0;0;0;NA
"598";2006-09-30;0,5;NA;0;1;-1;NA
"609";2006-12-31;0,5;NA;1;1;2;NA
"636";2007-09-30;0,5;NA;0;-1;0;NA
"647";2007-12-31;0,5;NA;2;1;2;NA
"6713";2008-09-30;0,5;NA;-1;0;-1;NA
"688";2008-12-31;0,5;NA;1;0;0;NA
"699";2009-03-31;0,5;NA;0;0;0;NA
"7013";2009-06-30;0,5;NA;0;1;0;NA
"7111";2009-09-30;0,5;NA;0;1;0;NA
"7212";2009-12-31;0,5;NA;0;0;0;NA
"7511";2010-09-30;0,5;NA;0;-1;0;NA
"869";2013-06-30;0,5;NA;-1;0;0;NA
"877";2013-09-30;0,5;-2;-1;0;-1;NA
"8812";2013-12-31;0,5;NA;-1;0;NA;NA
"9212";2014-12-31;0,5;0;0;0;NA;NA
"9311";2015-03-31;0,5;0;-1;0;-1;NA
"944";2015-06-30;0,5;-1;0;0;0;NA
"577";2006-03-31;0,2;NA;1;0;0;NA
"587";2006-06-30;0,2;NA;-1;0;0;NA
"599";2006-09-30;0,2;NA;0;0;-1;NA
"6010";2006-12-31;0,2;NA;0;0;0;NA
"615";2007-03-31;0,2;NA;0;0;0;NA
"648";2007-12-31;0,4;NA;-1;0;-1;NA
"658";2008-03-31;0,4;NA;-1;-1;-1;NA
"6612";2008-06-30;0,4;NA;-1;-1;0;NA
"6714";2008-09-30;0,4;NA;0;-1;0;NA
"689";2008-12-31;0,4;NA;0;0;NA;NA
"6910";2009-03-31;0,4;NA;0;1;NA;NA
"7014";2009-06-30;0,4;NA;-1;-1;-1;NA
