Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9,Latecomer,NewRecruit,WrongClassif,Duplicate
06,52201,3330,1,0.050000001,2014Q4,2,3,2,3,2,3,2,2,2,1,1,1,1,3,2,TRUE,FALSE,FALSE,FALSE
06,37377,3330,8,15,2014Q4,1,1,2,1,2,1,2,2,2,2,1,1,2,1,2,TRUE,FALSE,FALSE,FALSE
06,13808,3330,7,7.5,2014Q4,1,1,,1,,1,,2,,1,,2,,2,2,TRUE,FALSE,FALSE,FALSE
05,37464,3310,7,22.5,2014Q4,1,3,2,2,2,2,2,3,3,2,2,2,2,3,2,TRUE,FALSE,FALSE,FALSE
01,14267,3310,8,45,2014Q4,1,1,2,1,1,2,2,2,2,2,2,2,2,1,2,TRUE,FALSE,FALSE,FALSE
05,97283,3220,7,15,2014Q4,1,3,1,2,1,2,1,1,2,1,1,1,1,2,2,TRUE,FALSE,FALSE,FALSE
02,51538,3230,6,14,2014Q4,,2,2,1,2,1,2,2,2,2,2,2,2,2,2,TRUE,FALSE,FALSE,FALSE
01,37445,3310,9,35,2007Q2,1,1,,1,,1,,1,,2,,2,,1,2,FALSE,FALSE,FALSE,FALSE
06,37269,3370,1,0.050000001,2005Q3,1,1,1,1,1,1,1,1,1,3,2,3,2,1,,FALSE,TRUE,FALSE,FALSE
06,37406,3310,6,3.5,2007Q1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE
06,51265,3120,6,5.599999905,2003Q4,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,FALSE,FALSE,FALSE,FALSE
06,52107,3340,6,3.5,2006Q3,2,3,3,3,3,3,3,3,2,1,2,3,2,3,2,FALSE,FALSE,FALSE,FALSE
09,51865,3310,1,0.059999999,2002Q1,2,3,3,3,3,3,3,3,3,1,1,1,1,3,2,FALSE,FALSE,FALSE,FALSE
06,97362,3310,5,4.5,2007Q1,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,TRUE,FALSE,FALSE,FALSE
02,14269,3230,9,140,2012Q4,1,3,1,2,1,3,1,2,1,2,2,2,2,1,2,TRUE,TRUE,FALSE,FALSE
01,10545,3310,6,10.5,2008Q4,1,2,2,2,2,2,2,3,1,1,1,1,1,2,2,FALSE,FALSE,FALSE,FALSE
01,10545,3310,6,10.5,2009Q1,1,1,,1,,1,,2,,1,,1,,2,2,FALSE,FALSE,FALSE,FALSE
05,37462,3220,5,3,2014Q4,2,3,3,2,3,3,3,3,3,1,1,3,3,3,1,FALSE,FALSE,FALSE,FALSE
01,37489,3330,4,0.75,2014Q4,2,2,,2,3,2,3,2,3,2,3,2,3,2,,FALSE,FALSE,FALSE,FALSE
05,52037,3330,6,3.5,2014Q4,2,2,,2,,2,,3,,2,,3,,3,2,FALSE,FALSE,FALSE,FALSE
05,11139,3210,1,0.050000001,2014Q4,1,1,,1,2,1,2,2,2,2,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE
05,37391,3330,1,0.050000001,2014Q4,2,3,2,2,2,2,2,2,2,2,2,1,1,3,2,FALSE,FALSE,FALSE,FALSE
01,96925,3310,5,4.5,2014Q4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE
