Streek,Idnr,Sektor,Gewig,Sektorw,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9,Q4AX,Q6AX,Q7AX,Latecomer,NewRecruit,WrongClassif,Duplicate,Imputed
01,13358,2220,2,0.125,0.375,11Q3,2,3,3,3,3,3,3,3,2,1,1,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,13358,2220,2,0.125,0.375,12Q1,2,3,2,3,2,3,3,2,3,1,1,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,13358,2220,2,0.125,0.375,12Q2,2,3,2,3,2,3,2,2,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,13358,2220,2,0.125,0.375,12Q3,2,3,2,3,2,3,3,2,3,1,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10919,2220,3,0.099999998,0.699999988,08Q2,2,3,3,3,2,3,2,2,2,1,1,1,1,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,13738,2220,3,0.125,0.875,08Q3,2,3,3,3,3,3,3,2,2,1,2,1,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,96935,2220,3,0.125,0.875,08Q4,2,3,3,3,3,3,3,2,3,2,1,2,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,13043,2220,3,0.125,0.875,09Q1,2,3,3,3,3,3,3,3,3,2,1,2,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,13994,2220,3,0.125,0.875,09Q2,2,2,2,2,2,,,1,1,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10939,2220,3,0.125,0.875,10Q1,2,3,3,3,3,3,3,2,2,1,1,2,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10939,2220,3,0.125,0.875,10Q2,2,3,2,3,2,3,2,2,2,1,2,1,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10939,2220,3,0.125,0.875,10Q3,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10939,2220,3,0.125,0.875,10Q4,2,3,2,3,3,3,3,2,1,2,2,1,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10940,2220,5,0.1,3,08Q2,1,2,3,3,3,3,3,1,1,2,2,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,10940,2220,5,0.125,3.75,09Q1,2,3,3,2,3,2,3,2,2,2,1,2,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,13402,2240,2,0.125,0.375,15Q2,,2,,2,2,2,1,2,2,1,1,1,1,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
06,13851,2220,9,0.125,87.5,15Q2,2,3,2,1,1,1,1,2,2,2,2,3,2,3,1,,,,TRUE,FALSE,FALSE,FALSE,FALSE
06,14295,2110,5,0.214000003,6.420000076,15Q2,1,3,2,3,3,3,3,1,2,1,1,3,3,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
06,14655,2220,7,0.125,18.75,15Q2,2,3,3,3,3,2,2,3,2,2,1,1,1,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
